,appid,genre
70,690830,"['atmospheric', 'basebuilding', 'building', 'choicesmatter', 'citybuilder', 'coop', 'colonysim', 'earlyaccess', 'economy', 'indie', 'management', 'medieval', 'openworld', 'rts', 'resourcemanagement', 'sandbox', 'simulation', 'singleplayer', 'strategy', 'survival']"
71,281990,"['4x', 'atmospheric', 'diplomacy', 'exploration', 'futuristic', 'grandstrategy', 'greatsoundtrack', 'management', 'military', 'moddable', 'multiplayer', 'proceduralgeneration', 'realtimewithpause', 'replayvalue', 'sandbox', 'scifi', 'simulation', 'singleplayer', 'space', 'strategy']"
72,4000,"['action', 'adventure', 'animation&modeling', 'building', 'coop', 'comedy', 'fps', 'firstperson', 'funny', 'indie', 'massivelymultiplayer', 'mod', 'moddable', 'multiplayer', 'onlinecoop', 'physics', 'sandbox', 'shooter', 'simulation', 'singleplayer']"
73,728880,"['4playerlocal', 'action', 'casual', 'coop', 'colorful', 'comedy', 'controller', 'cooking', 'cute', 'difficult', 'familyfriendly', 'funny', 'indie', 'localcoop', 'localmultiplayer', 'multiplayer', 'onlinecoop', 'simulation', 'singleplayer', 'strategy']"
74,962130,"['action', 'adventure', 'basebuilding', 'coop', 'crafting', 'cute', 'earlyaccess', 'exploration', 'firstperson', 'funny', 'horror', 'multiplayer', 'onlinecoop', 'openworld', 'openworldsurvivalcraft', 'rpg', 'sandbox', 'singleplayer', 'survival', 'thirdperson']"
75,1385380,"['2d', 'adventure', 'cardbattler', 'cardgame', 'choicesmatter', 'coop', 'deckbuilding', 'difficult', 'fantasy', 'indie', 'proceduralgeneration', 'rpg', 'replayvalue', 'roguelike', 'roguelite', 'roguelikedeckbuilder', 'singleplayer', 'strategy', 'turnbased', 'turnbasedcombat', 'turnbasedstrategy', 'turnbasedtactics']"
76,413150,"['2d', 'agriculture', 'building', 'casual', 'crafting', 'cute', 'datingsim', 'farmingsim', 'fishing', 'greatsoundtrack', 'indie', 'lifesim', 'multiplayer', 'openworld', 'pixelgraphics', 'rpg', 'relaxing', 'sandbox', 'simulation', 'singleplayer']"
77,1987080,"['3d', 'adventure', 'atmospheric', 'coop', 'dark', 'earlyaccess', 'exploration', 'fps', 'firstperson', 'horror', 'indie', 'linear', 'multiplayer', 'mystery', 'onlinecoop', 'psychologicalhorror', 'puzzle', 'pve', 'scifi', 'storyrich', 'survivalhorror']"
78,476600,"['action', 'coop', 'fps', 'femaleprotagonist', 'firstperson', 'gore', 'heist', 'historical', 'horror', 'massivelymultiplayer', 'multiplayer', 'openworld', 'psychologicalhorror', 'shooter', 'singleplayer', 'storyrich', 'violent', 'war', 'worldwarii', 'zombies']"
79,268050,"['action', 'adventure', 'atmospheric', 'cinematic', 'dark', 'difficult', 'gore', 'horror', 'multiplayer', 'openworld', 'psychologicalhorror', 'shooter', 'singleplayer', 'stealth', 'storyrich', 'survival', 'survivalhorror', 'thirdperson', 'thirdpersonshooter', 'zombies']"
80,354710,"['action', 'horror']"
81,359930,"['action', 'firstperson', 'horror']"
82,345980,"['action', 'atmospheric', 'femaleprotagonist', 'gore', 'horror', 'stealth', 'survivalhorror']"
83,1118240,"['adventure', 'atmospheric', 'choicesmatter', 'chooseyourownadventure', 'comedy', 'cozy', 'drama', 'driving', 'exploration', 'femaleprotagonist', 'indie', 'lgbtq+', 'mature', 'openworld', 'rpg', 'relaxing', 'singleplayer', 'storyrich', 'walkingsimulator', 'wholesome']"
84,1190000,"['3d', 'adventure', 'atmospheric', 'automobilesim', 'driving', 'education', 'firstperson', 'greatsoundtrack', 'immersivesim', 'indie', 'minigames', 'moddable', 'openworld', 'puzzle', 'racing', 'realistic', 'sandbox', 'simulation', 'singleplayer', 'strategy']"
85,524220,"['action', 'adventure', 'anime', 'atmospheric', 'bullethell', 'characteractiongame', 'femaleprotagonist', 'greatsoundtrack', 'hackandslash', 'jrpg', 'nudity', 'openworld', 'postapocalyptic', 'rpg', 'robots', 'scifi', 'singleplayer', 'spectaclefighter', 'storyrich', 'violent']"
86,578650,"['action', 'actionrpg', 'actionadventure', 'adventure', 'charactercustomization', 'choicesmatter', 'colorful', 'comedy', 'exploration', 'fps', 'firstperson', 'funny', 'openworld', 'pve', 'rpg', 'scifi', 'shooter', 'singleplayer', 'space', 'storyrich']"
87,1090630,"['2dfighter', 'action', 'anime', 'competitive', 'fantasy', 'fighting', 'greatsoundtrack', 'multiplayer', 'pvp', 'rpg']"
88,1824220,"['3d', '3dfighter', 'action', 'atmospheric', 'charactercustomization', 'combat', 'comedy', 'fps', 'firstperson', 'gore', 'hackandslash', 'historical', 'medieval', 'military', 'multiplayer', 'swordplay', 'tactical', 'thirdperson', 'war', 'wargame']"
89,1384160,"['2.5d', '2d', '2dfighter', '3d', 'action', 'anime', 'arcade', 'casual', 'cinematic', 'combat', 'drama', 'fantasy', 'fighting', 'greatsoundtrack', 'localmultiplayer', 'lorerich', 'multiplayer', 'pvp', 'singleplayer', 'storyrich']"
90,242760,"['action', 'adventure', 'atmospheric', 'building', 'crafting', 'earlyaccess', 'exploration', 'firstperson', 'gore', 'horror', 'indie', 'openworld', 'openworldsurvivalcraft', 'realistic', 'sandbox', 'simulation', 'singleplayer', 'survival', 'survivalhorror', 'zombies']"
91,1943950,"['3d', 'action', 'actionadventure', 'adventure', 'casual', 'coop', 'dungeoncrawler', 'earlyaccess', 'escaperoom', 'exploration', 'firstperson', 'horror', 'indie', 'multiplayer', 'onlinecoop', 'proceduralgeneration', 'psychologicalhorror', 'singleplayer', 'stealth', 'survivalhorror']"
92,453480,"['adventure', 'anime', 'cardbattler', 'cardgame', 'casual', 'competitive', 'cute', 'deckbuilding', 'fantasy', 'freetoplay', 'jrpg', 'multiplayer', 'nudity', 'pvp', 'rpg', 'sexualcontent', 'singleplayer', 'strategy', 'tradingcardgame', 'turnbased']"
93,960090,"['2d', '3d', 'action', 'adventure', 'cartoony', 'casual', 'coop', 'cute', 'difficult', 'familyfriendly', 'funny', 'greatsoundtrack', 'indie', 'multiplayer', 'onlinecoop', 'sandbox', 'singleplayer', 'strategy', 'survival', 'towerdefense']"
94,550,"['action', 'adventure', 'coop', 'fps', 'firstperson', 'gore', 'horror', 'localcoop', 'moddable', 'multiplayer', 'onlinecoop', 'postapocalyptic', 'replayvalue', 'shooter', 'singleplayer', 'survival', 'survivalhorror', 'tactical', 'teambased', 'zombies']"
95,1266700,"['action', 'actionadventure', 'adventure', 'aliens', 'coop', 'coopcampaign', 'combat', 'comedy', 'controller', 'darkcomedy', 'darkhumor', 'destruction', 'localcoop', 'localmultiplayer', 'multiplayer', 'openworld', 'psychedelic', 'scifi', 'thirdperson', 'thirdpersonshooter']"
96,805550,"['atmospheric', 'automobilesim', 'competitive', 'controller', 'difficult', 'driving', 'earlyaccess', 'firstperson', 'moddable', 'multiplayer', 'onlinecoop', 'openworld', 'racing', 'realistic', 'simulation', 'singleplayer', 'sports', 'vr', 'esports']"
97,49520,"['action', 'actionrpg', 'adventure', 'coop', 'combat', 'comedy', 'darkhumor', 'fps', 'firstperson', 'funny', 'loot', 'lootershooter', 'memes', 'multiplayer', 'onlinecoop', 'openworld', 'rpg', 'scifi', 'shooter', 'singleplayer']"
98,294100,"['2d', 'basebuilding', 'building', 'cartoony', 'citybuilder', 'colonysim', 'indie', 'management', 'moddable', 'openworld', 'proceduralgeneration', 'sandbox', 'scifi', 'simulation', 'singleplayer', 'space', 'strategy', 'survival', 'tacticalrpg', 'western']"
99,429790,"['3d', 'action', 'actionrpg', 'actionadventure', 'adventure', 'anime', 'casual', 'charactercustomization', 'dragons', 'earlyaccess', 'exploration', 'fantasy', 'freetoplay', 'funny', 'hackandslash', 'indie', 'mmorpg', 'massivelymultiplayer', 'openworld', 'parkour', 'pve', 'pvp', 'rpg', 'storyrich', 'thirdperson']"
100,227300,"['adventure', 'atmospheric', 'automobilesim', 'casual', 'controller', 'driving', 'economy', 'exploration', 'familyfriendly', 'immersivesim', 'indie', 'management', 'moddable', 'multiplayer', 'openworld', 'realistic', 'relaxing', 'simulation', 'thirdperson', 'transportation']"
